username, name, score
protolambda, "protolambda", 42400
cryptosubtlety, "Quan Thoi Minh Nguyen", 19650
jrhea, "Jonny Rhea", 18700
guidovranken, "Guido Vranken", 17600
, "scio", 10000
sifraitech, "Grandine team", 9000
kilic, "Onur Kılıç", 6000
atoulme, "Antoine Toulme", 5000
Vulnerability-X, "VulnerabilityX", 5000
asanso, "Antonio Sanso", 4000
itsunixiknowthis, "ItsUnixIKnowThis", 2850
AlexSSD7, "Alexander Sadovskyi", 2500
tintinweb, "tintin", 2500
holiman, "Martin Holst Swende", 2500
, "Akincibor", 1750
mcdee, "Jim McDonald", 200
