username, name, score
samczsun, "Sam Sun", 35000
holiman, "Martin Holst Swende", 33500
chainsecurity, "ChainSecurity", 21000
junorouse, "Juno Im", 20500
uknowy, "Yoonho Kim (team Hithereum)", 20000
johnyangk, "John Youngseok Yang (Software Platform Lab)", 20000
guidovranken, "Guido Vranken", 18000
peckshield, "PeckShield", 17000
itsunixiknowthis, "ItsUnixIKnowThis", 15000
catageek, "Bertrand Masius", 15000
tintinweb, "Tin", 12500
none, "Ralph Pichler", 12500
none, "Bob Conan", 12000
lukaszmatczak, "Łukasz Matczak", 11000
none, "Heilman/Marcus/Goldberg", 10000
jonasnick, "Jonas Nick", 10000
none, "Sebastian Henningsen", 8000
none, "Dominic Brütsch", 7500
HarryR, "Harry Roberts", 5000
p-, "Peter Stöckli", 5000
Dedaub, "Neville Grech", 5000
jtoman, "John Toman", 5000
EthHead, "EthHead", 5000
danhper, "Daniel Perez", 2500
yaronvel, "Yaron Velner", 2000
whitj00, "Whit Jackson", 2000
none, "Ming Chuan Lin", 2000
melonport, "Melonport team", 2000
maurelian, "Maurelian", 2000
Cjentzsch, "Christoph Jentzsch", 2000
DVPNET, "DVP (dvpnet.io)", 1200
none, "Vasily Vasiliev", 1000
talko, "talko", 1000
swaldman, "Steve Waldman", 1000
ptk, "Panu Kekäläinen", 1000
montyly, "Josselin Feist", 1000
henrit, "Henrit", 1000
BlameByte, "Marc Bartlett", 1000
none, "Barry Whitehat", 1000
badmofo, "Lucas Ryan", 1000
agroce, "Alex Groce", 1000
n0thingness, "Daniel Briskin", 750
daenamkim, "Daenam Kim", 750
none, "Myeongjae Lee", 500
none, "Marcin Noga (Cisco/Talos Security)", 500
none, "jazzybedi", 500
feeker, "Feeker - 360 ESG Codesafe Team", 500
ethernomad, "Jonathan Brown", 500
davidmurdoch, "David Murdoch, 500
wadeAlexC, "Alexander Wade", 500
gitpusha, "Luis Schliesske", 200
